State,Number of Customers,Average Monthly Consumption (kWh),Average Price (cents/kWh),Average Monthly Bill (Dollar and cents)
New England,"6,377,606",628,20.6,129.49
Connecticut,"1,503,701",724,21.2,153.46
Maine,"709,848",572,16.84,96.33
Massachusetts,"2,784,243",607,21.61,131.2
New Hampshire,"622,671",621,19.69,122.27
Rhode Island,"442,005",589,20.55,121.05
Vermont,"315,138",560,18.02,100.83
Middle Atlantic,"16,149,378",710,15.97,113.39
New Jersey,"3,568,044",690,15.41,106.28
New York,"7,190,906",604,18.52,111.93
Pennsylvania,"5,390,428",864,13.89,120.04
East North Central,"20,183,560",800,13.25,106.03
Illinois,"5,289,573",744,12.77,94.98
Indiana,"2,863,358","1,006",12.26,123.39
Michigan,"4,365,529",671,15.45,103.59
Ohio,"4,964,855",914,12.56,114.8
Wisconsin,"2,700,245",693,14.02,97.09
West North Central,"9,497,228",964,12,115.68
Iowa,"1,385,756",892,12.24,109.27
Kansas,"1,266,044",934,13.35,124.68
Minnesota,"2,420,325",786,13.14,103.34
Missouri,"2,792,459","1,118",11.34,126.79
Nebraska,"849,898","1,021",10.7,109.27
North Dakota,"382,596","1,118",10.25,114.6
South Dakota,"400,150","1,045",11.59,121.16
South Atlantic,"27,947,855","1,116",11.7,130.51
Delaware,"432,449",977,12.53,122.43
District of Columbia,"274,613",787,12.84,101.01
Florida,"9,423,022","1,110",11.54,128.1
Georgia,"4,354,021","1,142",11.47,131.05
Maryland,"2,332,517","1,005",13.3,133.68
North Carolina,"4,550,420","1,129",11.09,125.17
South Carolina,"2,290,200","1,159",12.44,144.2
Virginia,"3,431,574","1,165",11.73,136.59
West Virginia,"859,039","1,133",11.18,126.7
East South Central,"8,382,954","1,237",11.14,137.8
Alabama,"2,229,472","1,236",12.18,150.54
Kentucky,"1,980,209","1,166",10.6,123.57
Mississippi,"1,290,281","1,247",11.12,138.63
Tennessee,"2,882,992","1,283",10.71,137.35
West South Central,"16,387,177","1,183",10.77,127.42
Arkansas,"1,388,358","1,156",9.81,113.36
Louisiana,"2,085,055","1,282",9.59,122.86
Oklahoma,"1,764,980","1,139",10.3,117.28
Texas,"11,148,784","1,176",11.2,131.63
Mountain,"9,825,511",851,11.94,101.55
Arizona,"2,808,352","1,028",12.77,131.31
Colorado,"2,326,976",691,12.15,83.9
Idaho,"743,567",944,10.15,95.84
Montana,"509,526",850,10.96,93.19
Nevada,"1,183,660",947,11.85,112.18
New Mexico,"889,841",639,12.68,81.08
Utah,"1,091,162",742,10.41,77.25
Wyoming,"272,427",841,11.29,94.9
Pacific Contiguous,"18,418,260",649,15.56,100.93
California,"13,591,152",546,18.84,102.9
Oregon,"1,750,240",901,10.98,99
Washington,"3,076,868",957,9.75,93.34
Pacific Noncontiguous,"723,792",539,28.03,151.22
Alaska,"287,526",572,21.94,125.57
Hawaii,"436,266",518,32.47,168.13
U.S. Total,"133,893,321",914,12.87,117.65